	index	Date	Longitude	Latitude	Location	Crime type	StreetNumber	Street	Locality	AdministrativeAreaLevel2	AdministrativeAreaLevel1	Country	PostCode
1467	4071	2015-01	-5.8261400000000005	54.638909	On or near Church Road	Anti-social behaviour	128	Church Rd	Holywood	North Down	Northern Ireland	United Kingdom	BT18
1468	1857	2016-10	-6.203567	54.72294	On or near Bush Park	Anti-social behaviour	29	Parkhall Rd	Antrim	Antrim	Northern Ireland	United Kingdom	BT41 1BU
1469	759	2016-08	-6.6969259999999995	54.247811999999996	On or near Granemore Heights	Anti-social behaviour	1	Ard-na-Greine	Keady	Armagh	Northern Ireland	United Kingdom	BT60 2RH
1470	3231	2016-01	-5.696143	54.645679	On or near Birch Drive	Anti-social behaviour	33-67	Birch Dr	Bangor	North Down	Northern Ireland	United Kingdom	BT19
1471	1938	2015-09	-5.960666000000001	54.605679	On or near 	Anti-social behaviour	4	Ainsworth Dr	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 3EJ
1472	4767	2015-09	-5.901086	54.595864	On or near 	Anti-social behaviour	192	Albertbridge Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT5 4GU
1473	191	2016-06	-6.25409	55.200171	On or near Castle Street	Anti-social behaviour	47	Glentaisie Dr	Ballycastle	Moyle	Northern Ireland	United Kingdom	BT54 6AS
1474	1333	2017-04	-6.667459	55.134827	On or near 	Anti-social behaviour	4	Westbrook Ct	Coleraine	Coleraine	Northern Ireland	United Kingdom	BT52 1QF
1475	2431	2014-10	-5.62185	54.65178100000001	On or near 	Anti-social behaviour		Milkbank House	Bangor	North Down	Northern Ireland	United Kingdom	BT19
1476	4279	2015-12	-7.350585000000001	55.016459	On or near Drumard Park	Anti-social behaviour	4	Drumard Park	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 0FL
1477	488	2015-06	-5.890862	54.214806	On or near Park Lane	Anti-social behaviour	15	A2	Newcastle	County Down	Northern Ireland	United Kingdom	BT33
1478	724	2016-07	-5.9236699999999995	54.448159999999994	On or near Lough Road	Anti-social behaviour	21	Lough Rd		Lisburn	Northern Ireland	United Kingdom	BT27 6TS
1479	531	2017-02	-7.455067999999999	54.759561	On or near Mulvin Road	Anti-social behaviour	121	Mulvin Rd	Victoria Bridge	Strabane	Northern Ireland	United Kingdom	BT82 9JR
1480	4128	2016-12	-5.976491	54.577777000000005	On or near Kennedy Way Industrial Estate	Anti-social behaviour	23-51	Blackstaff Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT11
1481	1595	2014-11	-6.338106	54.466586	On or near William Street	Anti-social behaviour	100	A76	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT66
1482	2160	2016-07	-5.883114	54.58883	On or near 	Anti-social behaviour	63	Dunraven Park	Belfast	Belfast	Northern Ireland	United Kingdom	BT5 6BS
1483	4983	2015-05	-6.215687	54.737134	On or near Argyll Street	Anti-social behaviour	42	Argyll St	Antrim	Antrim	Northern Ireland	United Kingdom	BT41 2UP
